focal_class,scene,cluster
chair,2014_10_22-16_18_11-1311000073,0
chair,2014_10_22-16_18_27-1311000073,0
chair,2014_10_22-16_18_40-1311000073,1
chair,2014_10_22-16_19_34-1311000073,2
chair,2014_10_22-18_35_37-1311000073,1
chair,2014_10_22-18_36_14-1311000073,0
chair,2014_10_22-18_36_29-1311000073,0
chair,2014_10_22-18_37_27-1311000073,0
chair,2014_10_22-18_37_39-1311000073,0
chair,2014_10_22-18_37_53-1311000073,4
chair,2014_10_22-18_38_17-1311000073,0
chair,2014_10_22-18_39_02-1311000073,1
chair,2014_10_22-18_39_16-1311000073,1
chair,2014_10_22-18_39_44-1311000073,0
chair,2014_10_22-18_40_48-1311000073,0
chair,2014_10_22-18_41_03-1311000073,0
chair,2014_10_22-18_42_01-1311000073,0
chair,2014_10_22-18_44_35-1311000073,2
chair,2014_10_22-18_44_46-1311000073,0
chair,2014_10_22-18_45_01-1311000073,1
chair,2014_10_22-18_46_10-1311000073,1
chair,2014_10_22-18_46_33-1311000073,1
chair,2014_10_23-15_05_23-1311000073,1
chair,2014_10_23-15_06_47-1311000073,0
chair,2014_10_23-15_07_03-1311000073,0
chair,2014_10_23-15_07_14-1311000073,0
chair,2014_10_23-15_07_30-1311000073,0
chair,2014_10_23-15_09_06-1311000073,0
chair,2014_10_23-15_09_37-1311000073,0
chair,2014_10_23-15_09_51-1311000073,1
chair,2014_10_23-15_10_15-1311000073,2
chair,2014_10_23-15_16_12-1311000073,0
chair,2014_10_23-15_16_29-1311000073,0
chair,2014_10_23-15_17_14-1311000073,4
chair,2014_10_23-15_17_28-1311000073,0
chair,2014_10_23-15_17_40-1311000073,0
chair,2014_10_23-15_18_17-1311000073,1
chair,2014_10_23-15_18_30-1311000073,1
chair,2014_10_23-15_18_46-1311000073,0
chair,2014_10_23-15_19_29-1311000073,4
chair,2014_10_23-15_20_16-1311000073,1
chair,2014_10_23-15_20_29-1311000073,1
chair,2014_10_23-15_20_51-1311000073,0
chair,2014_10_23-15_21_21-1311000073,0
chair,2014_10_23-15_21_44-1311000073,0
chair,2014_10_23-15_21_57-1311000073,1
chair,2014_10_23-15_24_18-1311000073,1
chair,2014_10_23-15_24_30-1311000073,1
chair,2014_10_23-15_24_59-1311000073,0
chair,2014_10_23-15_26_14-1311000073,0
chair,2014_10_23-15_26_30-1311000073,4
chair,2014_10_23-15_26_44-1311000073,4
chair,2014_10_23-15_27_06-1311000073,0
chair,2014_10_23-15_27_20-1311000073,0
chair,2014_10_23-15_27_40-1311000073,4
chair,2014_10_23-15_27_54-1311000073,4
chair,2014_10_23-15_28_08-1311000073,4
chair,2014_10_23-15_30_21-1311000073,4
chair,2014_10_23-15_31_06-1311000073,1
chair,2014_10_23-15_33_35-1311000073,1
chair,2014_10_23-15_33_56-1311000073,1
chair,2014_10_23-15_34_15-1311000073,0
chair,2014_10_23-15_34_30-1311000073,1
chair,2014_10_23-15_34_44-1311000073,0
chair,2014_10_23-15_36_45-1311000073,5
chair,2014_10_23-15_38_25-1311000073,0
chair,2014_10_23-15_45_39-1311000073,0
chair,2014_10_23-15_45_53-1311000073,0
chair,2014_10_23-15_46_13-1311000073,0
chair,2014_10_23-15_46_44-1311000073,1
chair,2014_10_23-15_46_56-1311000073,1
chair,2014_10_23-15_47_17-1311000073,4
chair,2014_10_23-15_47_33-1311000073,0
chair,2014_10_23-15_47_49-1311000073,0
chair,2014_10_23-15_48_02-1311000073,4
chair,2014_10_23-15_48_20-1311000073,4
chair,2014_10_23-15_48_35-1311000073,0
chair,2014_10_23-15_48_58-1311000073,0
chair,2014_10_23-15_49_48-1311000073,0
chair,2014_10_23-15_50_52-1311000073,0
chair,2014_10_23-15_51_05-1311000073,3
chair,2014_10_23-15_51_19-1311000073,0
chair,2014_10_23-15_51_36-1311000073,0
chair,2014_10_23-15_51_49-1311000073,0
chair,2014_10_23-15_52_17-1311000073,0
chair,2014_10_23-15_52_32-1311000073,0
chair,2014_10_23-15_52_45-1311000073,0
chair,2014_10_23-15_52_59-1311000073,0
chair,2014_10_23-15_53_12-1311000073,0
chair,2014_10_23-15_54_10-1311000073,2
chair,2014_10_23-15_54_46-1311000073,0
chair,2014_10_23-15_55_29-1311000073,2
chair,2014_10_23-15_55_59-1311000073,2
chair,2014_10_24-09_14_34-1311000073,0
chair,2014_10_24-09_15_20-1311000073,0
chair,2014_10_24-09_17_23-1311000073,0
chair,2014_10_24-09_18_00-1311000073,0
chair,2014_10_24-09_21_50-1311000073,1
chair,2014_10_24-09_23_10-1311000073,0
chair,2014_10_24-09_26_45-1311000073,1
chair,2014_10_24-09_27_15-1311000073,1
chair,2014_10_24-09_29_05-1311000073,0
chair,2014_10_24-09_33_31-1311000073,2
chair,2014_10_24-11_23_11-1311000073,0
chair,2014_10_24-11_26_28-1311000073,1
chair,2014_10_24-11_30_23-1311000073,1
chair,2014_10_24-11_31_01-1311000073,8
chair,2014_10_24-13_07_51-1311000073,1
chair,2014_10_24-13_08_55-1311000073,0
chair,2014_10_24-13_22_07-1311000073,8
chair,2014_10_24-13_22_28-1311000073,4
chair,2014_10_24-13_25_33-1311000073,9
chair,2014_10_24-13_27_24-1311000073,0
chair,2014_10_24-13_28_13-1311000073,0
chair,2014_10_24-13_29_02-1311000073,0
chair,2014_10_24-13_41_36-1311000073,4
chair,2014_10_24-13_41_48-1311000073,4
chair,2014_10_24-13_42_04-1311000073,4
chair,2014_10_24-13_42_23-1311000073,4
chair,2014_10_24-13_45_31-1311000073,0
chair,2014_10_24-13_45_43-1311000073,0
chair,2014_10_24-13_49_01-1311000073,5
chair,2014_10_24-20_22_10-1311000073,1
chair,2014_10_24-20_28_44-1311000073,1
chair,2014_10_24-20_29_00-1311000073,1
chair,2014_10_24-20_31_39-1311000073,1
chair,2014_10_24-20_31_55-1311000073,1
chair,2014_10_24-20_32_15-1311000073,1
chair,2014_10_24-20_32_27-1311000073,1
chair,2014_10_24-20_40_16-1311000073,0
chair,2014_10_24-20_40_47-1311000073,1
chair,2014_10_24-20_41_16-1311000073,0
chair,2014_10_24-20_41_48-1311000073,0
chair,2014_10_24-20_46_20-1311000073,1
chair,2014_10_24-20_46_45-1311000073,1
chair,2014_10_24-20_49_06-1311000073,8
chair,2014_10_24-21_07_54-1311000073,5
chair,2014_10_24-21_08_45-1311000073,0
chair,2014_10_24-21_09_10-1311000073,0
chair,2014_10_24-21_09_24-1311000073,1
chair,2014_10_24-21_09_44-1311000073,9
chair,2014_10_24-21_10_00-1311000073,1
chair,2014_10_24-21_10_15-1311000073,1
chair,2014_10_24-21_10_32-1311000073,0
chair,2014_10_24-21_10_51-1311000073,9
chair,2014_10_24-21_11_06-1311000073,3
chair,2014_10_24-21_11_23-1311000073,0
chair,2014_10_24-21_13_35-1311000073,0
chair,2014_10_24-21_13_49-1311000073,0
chair,2014_10_24-21_14_06-1311000073,0
chair,2014_10_24-21_14_23-1311000073,0
chair,2014_10_24-21_14_40-1311000073,0
chair,2014_10_24-21_17_38-1311000073,5
chair,2014_10_24-21_17_52-1311000073,0
chair,2014_10_24-21_19_52-1311000073,1
chair,2014_10_24-21_20_10-1311000073,1
chair,2014_10_24-21_23_55-1311000073,0
chair,2014_10_24-21_24_08-1311000073,0
chair,2014_10_24-21_24_21-1311000073,0
chair,2014_10_24-21_24_38-1311000073,0
chair,2014_10_25-17_09_52-1311000073,4
chair,2014_10_25-17_10_17-1311000073,4
chair,2014_10_25-17_10_36-1311000073,4
chair,2014_10_25-17_10_58-1311000073,0
chair,2014_10_25-17_11_47-1311000073,0
chair,2014_10_25-17_12_02-1311000073,0
chair,2014_10_25-17_12_17-1311000073,0
chair,2014_10_25-17_13_05-1311000073,1
chair,2014_10_25-17_18_29-1311000073,0
chair,2014_10_25-17_18_42-1311000073,0
chair,2014_10_25-17_19_16-1311000073,0
chair,2014_10_25-17_20_20-1311000073,4
chair,2014_10_25-17_21_13-1311000073,4
chair,2014_10_25-17_21_26-1311000073,1
chair,2014_10_25-17_23_03-1311000073,1
chair,2014_10_25-17_23_20-1311000073,1
chair,2014_10_25-17_23_54-1311000073,1
chair,2014_10_25-17_25_33-1311000073,0
chair,2014_10_25-17_25_45-1311000073,4
chair,2014_10_25-17_25_59-1311000073,4
chair,2014_10_25-17_26_13-1311000073,4
chair,2014_10_25-17_44_46-1311000073,1
chair,2014_10_25-17_45_01-1311000073,1
chair,2014_10_25-17_45_23-1311000073,0
chair,2014_10_25-17_45_39-1311000073,0
chair,2014_10_25-17_45_51-1311000073,0
chair,2014_10_25-17_46_55-1311000073,1
chair,2014_10_25-17_47_09-1311000073,1
chair,2014_10_25-17_47_23-1311000073,4
chair,2014_10_25-17_48_56-1311000073,1
chair,2014_10_25-17_50_02-1311000073,0
chair,2014_10_25-17_50_15-1311000073,1
chair,2014_10_25-17_50_30-1311000073,1
chair,2014_10_25-17_50_47-1311000073,0
chair,2014_10_25-17_52_37-1311000073,0
chair,2014_10_25-17_52_51-1311000073,0
chair,2014_10_25-17_53_05-1311000073,1
chair,2014_10_25-17_54_15-1311000073,4
chair,2014_10_25-17_54_32-1311000073,0
chair,2014_10_25-17_55_07-1311000073,0
chair,2014_10_25-17_55_31-1311000073,6
chair,2014_10_25-17_56_04-1311000073,4
chair,2014_10_25-17_56_21-1311000073,3
chair,2014_10_25-17_56_37-1311000073,4
chair,2014_10_25-17_56_51-1311000073,4
chair,2014_10_25-17_57_10-1311000073,4
chair,2014_10_26-13_53_26-1311000073,4
chair,2014_10_26-13_53_41-1311000073,0
chair,2014_10_26-14_03_26-1311000073,9
chair,2014_10_26-14_03_41-1311000073,0
chair,2014_10_26-14_03_55-1311000073,9
chair,2014_10_26-14_05_45-1311000073,6
chair,2014_10_26-14_05_58-1311000073,2
chair,2014_10_26-14_06_15-1311000073,2
chair,2014_10_26-14_06_37-1311000073,0
chair,2014_10_26-14_07_31-1311000073,3
chair,2014_10_26-14_07_52-1311000073,4
chair,2014_10_26-14_08_07-1311000073,4
chair,2014_10_26-14_08_19-1311000073,4
chair,2014_10_26-14_09_04-1311000073,0
chair,2014_10_26-14_09_20-1311000073,0
chair,2014_10_26-14_09_38-1311000073,3
chair,2014_10_26-14_10_07-1311000073,0
chair,2014_10_26-14_10_26-1311000073,0
chair,2014_10_26-14_11_04-1311000073,0
chair,2014_10_26-14_11_20-1311000073,0
chair,2014_10_26-14_12_35-1311000073,7
chair,2014_10_26-14_15_45-1311000073,0
chair,2014_10_26-14_15_59-1311000073,0
chair,2014_10_26-14_18_12-1311000073,0
chair,2014_10_26-14_35_56-1311000073,0
chair,2014_10_26-14_36_30-1311000073,0
chair,2014_10_26-14_38_07-1311000073,0
chair,2014_10_26-14_38_23-1311000073,0
chair,2014_10_26-14_39_04-1311000073,0
chair,2014_10_26-14_39_19-1311000073,0
chair,2014_10_26-14_43_27-1311000073,0
chair,2014_10_26-14_59_07-1311000073,0
chair,2014_10_26-14_59_19-1311000073,0
chair,2014_10_26-14_59_33-1311000073,7
chair,2014_10_26-15_00_16-1311000073,0
chair,2014_10_26-15_00_31-1311000073,0
chair,2014_10_26-15_01_09-1311000073,0
chair,2014_10_26-15_01_23-1311000073,0
chair,2014_10_26-15_02_21-1311000073,0
chair,2014_10_26-15_02_41-1311000073,0
chair,2014_10_26-15_03_01-1311000073,0
chair,2014_10_26-15_03_16-1311000073,0
chair,2014_10_26-15_04_48-1311000073,0
chair,2014_10_26-15_05_06-1311000073,7
chair,2014_10_26-15_05_24-1311000073,7
chair,2014_10_26-15_06_03-1311000073,0
chair,2014_10_26-15_06_20-1311000073,0
chair,2014_10_26-15_19_26-1311000073,3
chair,2014_10_26-15_19_39-1311000073,2
chair,2014_10_26-15_20_16-1311000073,3
chair,2014_10_26-15_21_02-1311000073,3
chair,2014_10_26-15_21_17-1311000073,3
chair,2014_10_26-15_22_17-1311000073,3
chair,2014_10_26-15_22_40-1311000073,0
chair,2014_10_26-15_23_35-1311000073,4
chair,2014_10_26-15_24_35-1311000073,4
chair,2014_10_26-15_25_06-1311000073,4
chair,2014_10_26-15_25_45-1311000073,6
chair,2014_10_26-15_27_22-1311000073,3
chair,2014_10_26-15_27_38-1311000073,4
chair,2014_10_26-15_28_11-1311000073,1
chair,2014_10_26-15_28_29-1311000073,0
chair,2014_10_26-15_29_43-1311000073,6
chair,2014_10_26-15_29_59-1311000073,6
chair,2014_10_26-15_30_25-1311000073,1
chair,2014_10_26-15_30_41-1311000073,6
chair,2014_10_26-15_31_10-1311000073,4
chair,2014_10_27-14_15_29-1311000073,8
chair,2014_10_27-14_18_18-1311000073,1
chair,2014_10_27-14_18_59-1311000073,0
chair,2014_10_27-14_24_19-1311000073,2
chair,2014_10_27-14_24_42-1311000073,4
chair,2014_10_27-14_25_10-1311000073,0
chair,2014_10_27-14_27_14-1311000073,0
chair,2014_10_27-14_29_12-1311000073,1
chair,2014_10_27-14_30_35-1311000073,3
chair,2014_10_27-14_31_16-1311000073,6
chair,2014_10_27-14_33_12-1311000073,4
chair,2014_10_27-14_33_29-1311000073,4
chair,2014_10_27-14_33_52-1311000073,4
chair,2014_10_27-14_34_05-1311000073,0
chair,2014_10_27-14_34_43-1311000073,0
chair,2014_10_27-14_35_14-1311000073,2
chair,2014_10_27-14_35_56-1311000073,4
chair,2014_10_27-14_36_44-1311000073,4
chair,2014_10_27-14_37_26-1311000073,4
chair,2014_10_27-14_38_10-1311000073,4
chair,2014_10_27-14_39_06-1311000073,4
chair,2014_10_27-14_39_48-1311000073,4
chair,2014_10_27-14_41_12-1311000073,0
chair,2014_10_27-14_42_00-1311000073,3
chair,2014_10_27-14_44_57-1311000073,0
chair,2014_10_27-14_45_30-1311000073,4
chair,2014_10_27-14_45_58-1311000073,4
chair,2014_10_27-14_47_49-1311000073,2
chair,2014_10_27-14_48_24-1311000073,3
chair,2014_10_27-14_49_36-1311000073,4
chair,2014_10_27-14_49_51-1311000073,4
chair,2014_10_27-14_50_08-1311000073,0
chair,2014_10_27-14_50_43-1311000073,4
chair,2014_10_27-14_51_18-1311000073,4
chair,2014_10_27-14_51_57-1311000073,3
chair,2014_10_27-14_54_57-1311000073,1
chair,2014_10_27-15_13_03-1311000073,9
chair,2014_10_27-15_13_17-1311000073,4
chair,2014_10_27-15_13_30-1311000073,6
chair,2014_10_27-15_13_46-1311000073,6
chair,2014_10_27-15_13_58-1311000073,6
chair,2014_10_27-15_15_40-1311000073,0
chair,2014_10_27-15_15_55-1311000073,0
chair,2014_10_27-15_16_10-1311000073,0
chair,2014_10_27-15_16_24-1311000073,1
chair,2014_10_27-15_16_43-1311000073,1
chair,2014_10_27-15_34_16-1311000073,0
chair,2014_10_27-15_34_33-1311000073,1
chair,2014_10_27-15_34_46-1311000073,1
chair,2014_10_27-15_35_03-1311000073,0
chair,2014_10_27-15_35_17-1311000073,0
chair,2014_10_27-15_35_49-1311000073,1
chair,2014_10_27-15_36_11-1311000073,7
chair,2014_10_27-15_36_28-1311000073,4
chair,2014_10_27-15_40_30-1311000073,0
chair,2014_10_27-15_40_55-1311000073,4
chair,2014_10_27-15_41_09-1311000073,1
chair,2014_10_27-15_41_23-1311000073,7
chair,2014_10_27-15_42_10-1311000073,0
chair,2014_10_27-15_42_30-1311000073,1
chair,2014_10_27-15_42_44-1311000073,1
chair,2014_10_27-15_42_59-1311000073,1
chair,2014_10_28-14_56_00-1311000073,0
chair,2014_10_28-14_56_20-1311000073,1
chair,2014_10_28-14_56_53-1311000073,0
chair,2014_10_28-14_57_26-1311000073,0
chair,2014_10_28-14_57_49-1311000073,1
chair,2014_10_28-14_58_08-1311000073,0
chair,2014_10_28-14_58_22-1311000073,0
chair,2014_10_28-14_58_35-1311000073,0
chair,2014_10_28-14_58_56-1311000073,4
chair,2014_10_28-14_59_13-1311000073,0
chair,2014_10_28-15_09_35-1311000073,0
chair,2014_10_28-15_09_48-1311000073,0
chair,2014_10_28-15_10_23-1311000073,0
chair,2014_10_28-15_10_43-1311000073,0
chair,2014_10_28-15_11_12-1311000073,0
chair,2014_10_28-15_11_54-1311000073,0
chair,2014_10_28-15_30_11-1311000073,9
chair,2014_10_28-15_30_26-1311000073,4
chair,2014_10_28-15_30_40-1311000073,0
chair,2014_10_28-15_31_00-1311000073,0
chair,2014_10_28-15_31_20-1311000073,3
chair,2014_10_28-15_32_28-1311000073,0
chair,2014_10_28-15_32_44-1311000073,0
chair,2014_10_28-15_32_57-1311000073,0
chair,2014_10_28-15_33_13-1311000073,4
chair,2014_10_28-15_33_26-1311000073,4
chair,2014_10_28-15_33_53-1311000073,1
chair,2014_10_28-15_34_45-1311000073,2
chair,2014_10_28-15_39_19-1311000073,1
chair,2014_10_28-15_39_48-1311000073,4
chair,2014_10_28-15_40_13-1311000073,4
chair,2014_10_28-15_40_30-1311000073,4
chair,2014_10_28-15_40_43-1311000073,4
chair,2014_10_28-15_41_07-1311000073,4
chair,2014_10_28-15_41_27-1311000073,4
chair,2014_10_28-15_41_41-1311000073,4
chair,2014_10_28-15_42_18-1311000073,4
chair,2014_10_28-15_42_33-1311000073,4
chair,2014_10_28-15_42_54-1311000073,4
chair,2014_10_28-15_43_08-1311000073,4
chair,2014_10_28-15_43_20-1311000073,4
chair,2014_10_28-15_43_44-1311000073,4
chair,2014_10_28-15_44_54-1311000073,1
chair,2014_10_28-15_45_36-1311000073,1
chair,2014_10_28-15_45_50-1311000073,1
chair,2014_10_28-15_46_05-1311000073,4
chair,2014_10_28-15_46_19-1311000073,4
chair,2014_10_28-15_46_59-1311000073,4
chair,2014_10_28-15_48_32-1311000073,0
chair,2014_10_28-15_49_03-1311000073,9
chair,2014_10_28-15_49_16-1311000073,4
chair,2014_10_28-15_49_33-1311000073,2
chair,2014_10_28-15_50_05-1311000073,2
chair,2014_10_28-15_51_03-1311000073,0
chair,2014_10_28-15_51_49-1311000073,0
chair,2014_10_28-15_52_54-1311000073,1
chair,2014_10_29-16_01_31-1311000073,1
chair,2014_10_29-16_01_48-1311000073,1
chair,2014_10_29-16_15_09-1311000073,1
chair,2014_10_29-16_15_22-1311000073,1
chair,2014_10_29-16_15_39-1311000073,1
chair,2014_10_29-16_15_52-1311000073,1
chair,2014_10_29-16_18_28-1311000073,5
chair,2014_10_29-16_19_00-1311000073,1
chair,2014_10_29-16_19_33-1311000073,2
chair,2014_10_29-16_20_00-1311000073,2
chair,2014_10_29-16_20_14-1311000073,2
chair,2014_10_29-16_24_02-1311000073,0
chair,2014_10_29-16_24_14-1311000073,1
chair,2014_10_29-16_24_26-1311000073,0
chair,2014_10_29-16_25_03-1311000073,4
chair,2014_10_29-16_26_36-1311000073,8
chair,2014_10_29-16_26_51-1311000073,1
chair,2014_10_29-16_27_06-1311000073,8
chair,2014_10_29-16_27_53-1311000073,0
chair,2014_10_29-16_28_18-1311000073,0
chair,2014_10_29-16_28_33-1311000073,0
chair,2014_10_29-16_28_58-1311000073,0
chair,2014_10_29-16_29_12-1311000073,0
chair,2014_10_29-16_29_27-1311000073,0
chair,2014_10_29-16_29_43-1311000073,0
chair,2014_10_29-16_29_59-1311000073,0
chair,2014_10_29-16_30_13-1311000073,0
chair,2014_10_29-16_30_32-1311000073,0
chair,2014_10_29-16_30_51-1311000073,0
chair,2014_10_29-16_31_04-1311000073,0
chair,2014_10_29-16_31_20-1311000073,0
chair,2014_10_29-16_31_34-1311000073,0
chair,2014_10_29-16_31_53-1311000073,0
chair,2014_10_29-16_32_04-1311000073,0
chair,2014_10_29-16_32_16-1311000073,0
chair,2014_10_29-16_32_29-1311000073,0
chair,2014_10_29-16_32_42-1311000073,0
chair,2014_10_29-16_47_33-1311000073,5
chair,2014_10_29-16_48_33-1311000073,9
chair,2014_10_29-16_50_16-1311000073,5
chair,2014_10_29-16_53_39-1311000073,8
chair,2014_10_29-16_55_11-1311000073,1
chair,2014_10_30-15_02_08-1311000073,0
chair,2014_10_30-15_02_22-1311000073,0
chair,2014_10_30-15_05_04-1311000073,1
chair,2014_10_30-15_05_19-1311000073,0
chair,2014_10_30-15_05_37-1311000073,1
chair,2014_10_30-15_05_54-1311000073,0
chair,2014_10_30-15_07_19-1311000073,0
chair,2014_10_30-15_09_54-1311000073,0
chair,2014_10_30-15_24_53-1311000073,1
chair,2014_10_30-15_27_59-1311000073,1
chair,2014_10_30-15_28_53-1311000073,1
chair,2014_10_30-15_31_03-1311000073,0
chair,2014_10_30-15_31_16-1311000073,0
chair,2014_10_30-15_31_32-1311000073,0
chair,2014_10_30-15_31_46-1311000073,0
chair,2014_10_30-15_33_05-1311000073,0
chair,2014_10_30-15_33_21-1311000073,0
chair,2014_10_30-15_33_34-1311000073,0
chair,2014_10_30-15_33_49-1311000073,0
chair,2014_10_30-15_37_37-1311000073,0
chair,2014_10_30-15_37_51-1311000073,0
chair,2014_10_30-15_39_14-1311000073,4
chair,2014_10_30-15_40_42-1311000073,0
chair,2014_10_30-15_40_55-1311000073,0
chair,2014_10_30-15_41_27-1311000073,0
chair,2014_10_30-15_43_23-1311000073,0
chair,2014_10_30-15_43_35-1311000073,0
chair,2014_10_30-15_44_22-1311000073,3
chair,2014_10_30-15_46_23-1311000073,1
chair,2014_10_30-15_46_48-1311000073,8
chair,2014_10_30-15_47_02-1311000073,8
chair,2014_10_30-16_03_38-1311000073,1
chair,2014_10_30-16_03_54-1311000073,1
chair,2014_10_30-16_04_11-1311000073,1
chair,2014_10_30-16_06_13-1311000073,0
chair,2014_10_30-16_06_25-1311000073,0
chair,2014_10_30-16_06_41-1311000073,0
chair,2014_10_30-16_08_02-1311000073,9
chair,2014_10_30-16_08_17-1311000073,9
chair,2014_10_30-16_08_49-1311000073,2
chair,2014_10_30-16_09_04-1311000073,9
chair,2014_10_30-16_11_43-1311000073,0
chair,2014_10_30-16_12_00-1311000073,0
chair,2014_10_30-16_12_13-1311000073,1
chair,2014_10_30-16_12_28-1311000073,4
chair,2014_10_30-16_13_00-1311000073,0
chair,2014_10_30-16_13_14-1311000073,0
chair,2014_10_30-16_13_27-1311000073,0
chair,2014_10_30-16_13_40-1311000073,1
chair,2014_10_30-16_13_57-1311000073,0
chair,2014_10_30-16_18_29-1311000073,1
chair,2014_12_18-11_33_49-1311000073,3
chair,2014_12_18-11_34_15-1311000073,6
chair,2014_12_18-11_34_51-1311000073,4
chair,2014_12_18-11_35_09-1311000073,3
chair,2014_12_18-11_35_43-1311000073,3
chair,2014_12_18-11_41_16-1311000073,4
chair,2014_12_18-11_41_36-1311000073,4
chair,2014_12_18-11_42_39-1311000073,0
chair,2014_12_18-11_47_52-1311000073,0
chair,2014_12_18-11_49_13-1311000073,0
chair,2014_12_18-11_51_02-1311000073,3
chair,2014_12_18-11_59_58-1311000073,4
chair,2014_12_18-12_08_49-1311000073,0
chair,2014_12_18-12_19_11-1311000073,0
chair,2014_12_18-12_19_26-1311000073,1
chair,2014_12_18-12_19_41-1311000073,0
chair,2014_12_18-12_20_02-1311000073,1
chair,2014_12_18-12_20_19-1311000073,0
chair,2014_12_18-12_20_48-1311000073,0
chair,2014_12_18-12_22_05-1311000073,4
chair,2014_12_18-12_22_26-1311000073,9
chair,2014_12_18-12_22_53-1311000073,3
chair,2014_12_18-12_23_06-1311000073,0
chair,2014_12_18-12_23_23-1311000073,4
chair,2014_12_18-12_23_41-1311000073,0
chair,2014_12_18-12_23_56-1311000073,0
chair,2014_12_18-12_24_29-1311000073,0
chair,2014_12_18-12_24_44-1311000073,0
chair,2014_12_18-12_26_29-1311000073,0
chair,2014_12_18-13_59_13-1311000073,0
chair,2014_12_18-14_02_44-1311000073,6
chair,2014_12_18-14_02_58-1311000073,3
chair,2014_12_18-14_03_11-1311000073,3
chair,2014_12_18-14_03_27-1311000073,1
chair,2014_12_18-14_03_42-1311000073,3
chair,2014_12_18-14_04_02-1311000073,0
chair,2014_12_18-14_04_16-1311000073,0
chair,2014_12_18-14_04_49-1311000073,4
chair,2014_12_18-14_05_16-1311000073,0
chair,2014_12_18-14_07_54-1311000073,0
chair,2014_12_18-14_11_39-1311000073,3
chair,2014_12_18-14_12_03-1311000073,0
chair,2014_12_18-14_24_33-1311000073,0
chair,2014_12_18-14_33_37-1311000073,1
chair,2014_12_18-14_34_02-1311000073,1
chair,2014_12_18-14_34_58-1311000073,1
chair,2014_12_18-14_35_35-1311000073,0
chair,2014_12_18-14_37_00-1311000073,0
chair,2014_12_18-14_37_17-1311000073,0
chair,2014_12_18-14_37_32-1311000073,0
chair,2014_12_18-14_37_51-1311000073,0
chair,2014_12_18-14_39_07-1311000073,1
chair,2014_12_18-14_39_26-1311000073,1
chair,2014_12_18-14_40_17-1311000073,0
chair,2014_12_18-14_40_31-1311000073,1
chair,2014_12_18-15_44_14-1311000073,9
chair,2014_12_18-15_49_19-1311000073,1
chair,2014_12_18-15_49_36-1311000073,0
chair,2014_12_18-15_50_14-1311000073,1
chair,2014_12_18-15_51_16-1311000073,0
chair,2014_12_18-15_52_57-1311000073,1
chair,2014_12_18-15_53_56-1311000073,0
chair,2014_12_18-15_54_11-1311000073,0
chair,2014_12_18-15_58_34-1311000073,1
chair,2014_12_18-16_15_00-1311000073,0
chair,2014_12_18-16_15_12-1311000073,0
chair,2014_12_18-16_15_52-1311000073,0
chair,2014_12_18-16_16_06-1311000073,0
chair,2014_12_18-16_21_48-1311000073,0
chair,2014_12_18-16_22_11-1311000073,0
chair,2014_12_18-16_22_23-1311000073,0
chair,2014_12_18-16_22_42-1311000073,0
chair,2014_12_18-16_23_17-1311000073,1
chair,2014_12_18-16_24_21-1311000073,0
chair,2014_12_18-16_25_55-1311000073,0
chair,2014_12_18-16_26_16-1311000073,0
chair,2014_12_18-16_26_34-1311000073,0
chair,2014_12_18-16_29_09-1311000073,0
chair,2014_12_18-16_29_23-1311000073,0
chair,2014_12_18-16_29_39-1311000073,1
chair,img_0063,9
chair,img_0064,5
chair,img_0066,4
chair,img_0067,1
chair,img_0068,4
chair,img_0070,4
chair,img_0071,4
chair,img_0078,4
chair,img_0083,4
chair,img_0090,4
chair,img_0091,4
chair,img_0092,1
chair,img_0093,4
chair,img_0098,0
chair,img_0100,0
chair,img_0101,4
chair,img_0104,4
chair,img_0108,4
chair,img_0113,4
chair,img_0116,4
chair,img_0118,4
chair,img_0119,4
chair,img_0120,4
chair,img_0124,4
chair,img_0128,4
chair,img_0129,0
chair,img_0130,4
chair,img_0131,4
chair,img_0132,4
chair,img_0134,4
chair,img_0136,4
chair,img_0141,4
chair,img_0143,1
chair,img_0148,4
chair,img_0150,8
chair,img_0152,4
chair,img_0156,4
chair,img_0157,4
chair,img_0158,4
chair,img_0159,4
chair,img_0161,0
chair,img_0164,0
chair,img_0169,1
chair,img_0177,1
chair,img_0178,4
chair,img_0184,9
chair,img_0185,9
chair,img_0188,0
chair,img_0194,2
chair,img_0203,0
chair,img_0208,2
chair,img_0213,4
chair,img_0215,4
chair,img_0217,4
chair,img_0221,4
chair,img_0222,6
chair,img_0223,4
chair,img_0224,4
chair,img_0229,4
chair,img_0232,8
chair,img_0233,6
chair,img_0236,4
chair,img_0237,4
chair,img_0238,4
chair,img_0240,4
chair,img_0241,4
chair,img_0242,4
chair,img_0244,6
chair,img_0247,0
chair,img_0248,4
chair,img_0254,4
chair,img_0270,9
chair,img_0272,8
chair,img_0273,8
chair,img_0274,8
chair,img_0280,8
chair,img_0281,1
chair,img_0283,8
chair,img_0284,0
chair,img_0287,0
chair,img_0290,0
chair,img_0298,0
chair,img_0309,0
chair,img_0312,0
chair,img_0313,0
chair,img_0314,1
chair,img_0316,1
chair,img_0318,1
chair,img_0319,0
chair,img_0320,1
chair,img_0331,8
chair,img_0386,7
chair,img_0388,0
chair,img_0395,7
chair,img_0413,4
chair,img_0414,4
chair,img_0416,3
chair,img_0418,4
chair,img_0420,4
chair,img_0423,4
chair,img_0424,4
