rank,class,scene_frequency,pct_of_scenes
2919,tapemeasure,2,0.02
2920,pointer,2,0.02
2921,wifirouter,2,0.02
2922,plantwithbin,2,0.02
2923,chaircontinued,2,0.02
2924,tongs,2,0.02
2925,timer,2,0.02
2926,powercables,2,0.02
2927,deskbottom,2,0.02
2928,closedwindow,2,0.02
2929,power,2,0.02
2930,dumbbell,2,0.02
2931,disposablecups,2,0.02
2932,bunny,2,0.02
2933,carpetcleaner,2,0.02
2934,radiater,2,0.02
2935,metalbar,2,0.02
2936,chappal,2,0.02
2937,botle,2,0.02
2938,bookstack,2,0.02
2939,airfreshner,2,0.02
2940,chapple,2,0.02
2941,tshirt,2,0.02
2942,latter,2,0.02
2943,dishpan,2,0.02
2944,detergent,2,0.02
2945,sofacushion,2,0.02
2946,almara,2,0.02
2947,memoboard,2,0.02
2948,tire,2,0.02
2949,toiletbowl,2,0.02
2950,tablechair,2,0.02
2951,goat,2,0.02
2952,chairs.,2,0.02
2953,uropaincloset,2,0.02
2954,charir,2,0.02
2955,doorentrance,2,0.02
2956,waterglass,2,0.02
2957,stafler,2,0.02
2958,foam,2,0.02
2959,notepaper,2,0.02
2960,removabledividingwall,2,0.02
2961,cartoonbox,2,0.02
2962,watercontainer,2,0.02
2963,floorpart,2,0.02
2964,desks,2,0.02
2965,benchleg,2,0.02
2966,spfa,2,0.02
2967,heater/ac,2,0.02
2968,tote,2,0.02
2969,floorboards,2,0.02
2970,wainscotting,2,0.02
2971,strawdispenser,2,0.02
2972,shink,2,0.02
2973,windpw,2,0.02
2974,wainscoting,2,0.02
2975,handlebar,2,0.02
2976,waitinghall,2,0.02
2977,windowjamb,2,0.02
2978,ironsafe,2,0.02
2979,wallphone,2,0.02
2980,teepo,2,0.02
2981,metalpole,2,0.02
2982,pizzaboxes,2,0.02
2983,ovan,2,0.02
2984,tablecounter,2,0.02
2985,lampstand,2,0.02
2986,shair,2,0.02
2987,plasticboxes,2,0.02
2988,drinkingfountain,2,0.02
2989,wallglass,2,0.02
2990,redchair,2,0.02
2991,enternewobjectnameta,2,0.02
2992,reamofpaper,2,0.02
2993,wentilaters,2,0.02
2994,kitchendrawer,2,0.02
2995,bottlewater,2,0.02
2996,bootle,2,0.02
2997,handles,2,0.02
2998,makeupbag,2,0.02
2999,deskclutter,2,0.02
3000,flushlever,2,0.02
3001,xeroxmechine,2,0.02
3002,boader,2,0.02
3003,booksshelf,2,0.02
3004,cutter,2,0.02
3005,2x,2,0.02
3006,tabledraw,2,0.02
3007,chaie,2,0.02
3008,treetrunk,2,0.02
3009,singlesofachair,2,0.02
3010,carpetflooring,2,0.02
3011,ceilingwall,2,0.02
3012,hub,2,0.02
3013,fireextinguishercase,2,0.02
3014,blacksheet,2,0.02
3015,roomfreshner,2,0.02
3016,slideprojector,2,0.02
3017,processor,2,0.02
3018,smokedetecter,2,0.02
3019,utilitycart,2,0.02
3020,trashcan.,2,0.02
3021,powerbar,2,0.02
3022,plugoutlet,2,0.02
3023,cabinetry,2,0.02
3024,pottedtree,2,0.02
3025,rollingwhiteboard,2,0.02
3026,callingbell,2,0.02
3027,keywhole,2,0.02
3028,stairrailing,2,0.02
3029,stairwell,2,0.02
3030,shelp,2,0.02
3031,cablefail,2,0.02
3032,threshold,2,0.02
3033,lockedcabinet,2,0.02
3034,glassframe,2,0.02
3035,seatcoverdispenser,2,0.02
3036,pans,2,0.02
3037,coffeethermos,2,0.02
3038,cabinetdoorhandle,2,0.02
3039,recessedlight,2,0.02
3040,toster,2,0.02
3041,topwithshelfwithdoor,2,0.02
3042,showerglass,2,0.02
3043,showerfloor,2,0.02
3044,bagofchips,2,0.02
3045,liquorbottle,2,0.02
3046,carseat,2,0.02
3047,shorts,2,0.02
3048,steelpot,2,0.02
3049,white,2,0.02
3050,showerknob,2,0.02
3051,tie,2,0.02
3052,backet,2,0.02
3053,broomhandle,2,0.02
3054,makeupmirror,2,0.02
3055,housetoy,2,0.02
3056,toyhouse,2,0.02
3057,shelftop,2,0.02
3058,walltile,2,0.02
3059,redobject,2,0.02
3060,plasticpot,2,0.02
3061,plasticstorage,2,0.02
3062,tassel,2,0.02
3063,flushtank,2,0.02
3064,tissuepaperholder,2,0.02
3065,travelcase,2,0.02
3066,otherhouseuse,2,0.02
3067,propanetank,2,0.02
3068,tubholder,2,0.02
3069,plasticwrap,2,0.02
3070,record,2,0.02
3071,stockpot,2,0.02
3072,pressurecooker,2,0.02
3073,plasticshelf,2,0.02
3074,plasticbasket,2,0.02
3075,bage,2,0.02
3076,baseboardheat,2,0.02
3077,pillow.,2,0.02
3078,wallcharger,2,0.02
3079,woodenspoons,2,0.02
3080,lighter,2,0.02
3081,deskcalendar,2,0.02
3082,cookbook,2,0.02
3083,entertainmentstand,2,0.02
3084,toiletcleaner,2,0.02
3085,curtan,2,0.02
3086,items,2,0.02
3087,flowerdecal,2,0.02
3088,code,2,0.02
3089,glasstumbler,2,0.02
3090,swichbox,2,0.02
3091,woodpiece,2,0.02
3092,roomlight,2,0.02
3093,chambre,2,0.02
3094,glassreflection,2,0.02
3095,kitchenpaper,2,0.02
3096,cornice,2,0.02
3097,bothtub,2,0.02
3098,taval,2,0.02
3099,bathrug,2,0.02
3100,towelrail,2,0.02
3101,bedlamb,2,0.02
3102,greetingcard,2,0.02
3103,paperstant,2,0.02
3104,sanitizer,2,0.02
3105,bathdub,2,0.02
3106,glasstabel,2,0.02
3107,housewindows,2,0.02
3108,babytrolly,2,0.02
3109,ironstand,2,0.02
3110,electronicequiptment,2,0.02
3111,mate,2,0.02
3112,blackwall,2,0.02
3113,markertray,2,0.02
3114,gymbag,2,0.02
3115,woodstick,2,0.02
3116,sensor,2,0.02
3117,keyborad,2,0.02
3118,postitnote,2,0.02
3119,market,2,0.02
3120,handwasher,2,0.02
3121,refelection,2,0.02
3122,tissuepaperrole,2,0.02
3123,screenholder,2,0.02
3124,coveredbin,2,0.02
3125,chat,2,0.02
3126,blackscreen,2,0.02
3127,buildingblocks,2,0.02
3128,dock,2,0.02
3129,badmintoncourt,2,0.02
3130,court,2,0.02
3131,helmat,2,0.02
3132,fireequipment,2,0.02
3133,electricalinstrument,2,0.02
3134,pvc,2,0.02
3135,electronicinstrument,2,0.02
3136,somegoods,2,0.02
3137,wallhung,2,0.02
3138,whitepaper,2,0.02
3139,whiteboards,2,0.02
3140,generator,2,0.02
3141,boks,2,0.02
3142,printercopier,2,0.02
3143,purifier,2,0.02
3144,bookswithpapers,2,0.02
3145,blindscreen,2,0.02
3146,wndow,2,0.02
3147,rollingstand,2,0.02
3148,vacumcleaner,2,0.02
3149,wasteitem,2,0.02
3150,smallsofa,2,0.02
3151,printedsheet,2,0.02
3152,deskshelf,2,0.02
3153,testtubeholder,2,0.02
3154,shelfwithtop,2,0.02
3155,windowwithshutter,2,0.02
3156,plasticdrawers,2,0.02
3157,woodalmirah,2,0.02
3158,laptopbattery,2,0.02
3159,baseballhat,2,0.02
3160,floorcontinued,2,0.02
3161,doorwithshelf,2,0.02
3162,chepal,2,0.02
3163,rode,2,0.02
3164,palmtree,2,0.02
3165,tyer,2,0.02
3166,bycycle,2,0.02
3167,wallnotice,2,0.02
3168,dek,2,0.02
3169,standwithdish,2,0.02
3170,bookbinder,2,0.02
3171,minaralwater,2,0.02
3172,trlly,2,0.02
3173,labmachine,2,0.02
3174,labcounter,2,0.02
3175,supplyboxes,2,0.02
3176,nitrogencontainer,2,0.02
3177,labsupplies,2,0.02
3178,fridgemagnet,2,0.02
3179,steelrods,2,0.02
3180,overheadlight,2,0.02
3181,kampalam,2,0.02
3182,powerline,2,0.02
3183,carboardwall,2,0.02
3184,elevatorpanel,2,0.02
3185,chappals,2,0.02
3186,tissuepaperroll,2,0.02
3187,facuet,2,0.02
3188,dooropening,2,0.02
3189,utilitysink,2,0.02
3190,toyshoppingcart,2,0.02
3191,toylawnmower,2,0.02
3192,paperandpen,2,0.02
3193,saucebottle,2,0.02
3194,lime,2,0.02
3195,flushtang,2,0.02
3196,kidschair,2,0.02
3197,sidetablebase,2,0.02
3198,sidetabletop,2,0.02
3199,floar,2,0.02
3200,lcdmoniters,2,0.02
3201,beeding,2,0.02
3202,poles,2,0.02
3203,roundedtable,2,0.02
3204,rectangletable,2,0.02
3205,backrest,2,0.02
3206,legofchair,2,0.02
3207,woodcabin,2,0.02
3208,tri-podleg,1,0.01
3209,moniters,1,0.01
3210,shuter,1,0.01
3211,copierprinter,1,0.01
3212,boxwall,1,0.01
3213,houseroof,1,0.01
3214,fireextengisher,1,0.01
3215,eletronicdeice,1,0.01
3216,boxtop,1,0.01
3217,cubic,1,0.01
3218,ceilingfan,1,0.01
3219,computtermonitor,1,0.01
3220,cubicwall,1,0.01
3221,paperandbooks,1,0.01
3222,filingdrawers,1,0.01
3223,thermalmug,1,0.01
3224,disposablecoffeecup,1,0.01
3225,coffeejuck,1,0.01
3226,htato,1,0.01
3227,cupwithcloth,1,0.01
3228,soysauce,1,0.01
3229,chairceat,1,0.01
3230,wallboarder,1,0.01
3231,chairrest,1,0.01
3232,settingtool,1,0.01
3233,cameras,1,0.01
3234,electricplugpoint,1,0.01
3235,flashlightstand,1,0.01
3236,??????,1,0.01
3237,paperandbook,1,0.01
3238,",papers",1,0.01
3239,highlighter,1,0.01
3240,racktable,1,0.01
3241,glassdoorwindow,1,0.01
3242,officepaperwork,1,0.01
3243,cocolatin,1,0.01
3244,cocolain,1,0.01
3245,keyboardandmonitor,1,0.01
3246,filingdrawrs,1,0.01
3247,tilepicture,1,0.01
3248,blackmarker,1,0.01
3249,suuporotwall,1,0.01
3250,inkpen,1,0.01
3251,plugcord,1,0.01
3252,aluminumbottle,1,0.01
3253,externalharddisk,1,0.01
3254,tarp,1,0.01
3255,workcubical,1,0.01
3256,loosepaper,1,0.01
3257,volleyball,1,0.01
3258,sidewayscup,1,0.01
3259,cocacolacup,1,0.01
3260,usbcable,1,0.01
3261,a4sheetbundle,1,0.01
3262,computermousse,1,0.01
3263,papercup.,1,0.01
3264,bankerbox,1,0.01
3265,landlinephone,1,0.01
3266,keyboardstand,1,0.01
3267,keyboaed,1,0.01
3268,extrarack,1,0.01
3269,pacmanghost,1,0.01
3270,buildingcolumn,1,0.01
3271,supportwall,1,0.01
3272,meshine,1,0.01
3273,erasertray,1,0.01
3274,lightspot,1,0.01
3275,equations,1,0.01
3276,plasticeraserbox,1,0.01
3277,wallsupport,1,0.01
3278,tablebackroundboard,1,0.01
3279,powerbutton,1,0.01
3280,monitorbuttons,1,0.01
3281,postitholder,1,0.01
3282,paperwallhanger,1,0.01
3283,computerchargecord,1,0.01
3284,backwallofhallway,1,0.01
3285,keyboardwithcomputer,1,0.01
3286,ligthfixture,1,0.01
3287,usbcord,1,0.01
3288,boardbase,1,0.01
3289,thermus,1,0.01
3290,paperstar,1,0.01
3291,watercanteen,1,0.01
3292,book.,1,0.01
3293,|keyboard,1,0.01
3294,dockingstation,1,0.01
3295,vhair,1,0.01
3296,computerprinter,1,0.01
3297,pinup,1,0.01
3298,keyboardtraw,1,0.01
3299,lockwithhandle,1,0.01
3300,hats,1,0.01
3301,plasticutinsils,1,0.01
3302,filecabinetdrawers,1,0.01
3303,whiteboardwritting,1,0.01
3304,papersandfiles,1,0.01
3305,tablefloor,1,0.01
3306,c.ds,1,0.01
3307,fevigum,1,0.01
3308,rainboots,1,0.01
3309,grocerybag,1,0.01
3310,writtenwords,1,0.01
3311,asparinbottle,1,0.01
3312,writtenformulas,1,0.01
3313,writenwork,1,0.01
3314,writer,1,0.01
3315,selotap,1,0.01
3316,filesandpapersandbook,1,0.01
3317,sunglass,1,0.01
3318,roundglass,1,0.01
3319,books(topshelf),1,0.01
3320,netgearbox,1,0.01
3321,books(bottomshelf),1,0.01
3322,filestoragebox,1,0.01
3323,maonitor,1,0.01
3324,crayons,1,0.01
3325,keyboarddesk,1,0.01
3326,mousedesk,1,0.01
3327,electronictool,1,0.01
3328,tapedespenser,1,0.01
3329,paperbags,1,0.01
3330,disks,1,0.01
3331,woodself,1,0.01
3332,tableceiled,1,0.01
3333,earephone,1,0.01
3334,bookboard,1,0.01
3335,snapplebottle,1,0.01
3336,clearpouch,1,0.01
3337,cowdoll,1,0.01
3338,brazilflag,1,0.01
3339,deskblotter,1,0.01
3340,glassdoorframe,1,0.01
3341,doorsticker,1,0.01
3342,glassclosercurtain,1,0.01
3343,airwindow,1,0.01
3344,writingutensil,1,0.01
3345,styrofoamcup,1,0.01
3346,strofoamcup,1,0.01
3347,monitorbox,1,0.01
3348,cassettepouch,1,0.01
3349,wristpad,1,0.01
3350,telephoneheadset,1,0.01
3351,wagman,1,0.01
3352,compactdisck,1,0.01
3353,keyboardholder,1,0.01
3354,glasscoffeepot,1,0.01
3355,bootil,1,0.01
3356,stackofcups,1,0.01
3357,knifehadle,1,0.01
3358,ladel,1,0.01
3359,lightswitchcover,1,0.01
3360,temperaturecontrolpanel,1,0.01
3361,temperaturecontrolknob,1,0.01
3362,windowsheet,1,0.01
3363,pull-string,1,0.01
3364,namepanel,1,0.01
3365,lowtable,1,0.01
3366,advertosing,1,0.01
3367,comuter,1,0.01
3368,freezerbag,1,0.01
3369,weighter,1,0.01
3370,math,1,0.01
3371,blindopener/closer,1,0.01
3372,labelprinter,1,0.01
3373,cxpu,1,0.01
3374,batterybox,1,0.01
3375,smallfilecabinet,1,0.01
3376,magazinestand,1,0.01
3377,sideplate,1,0.01
3378,watchcover,1,0.01
3379,dhava,1,0.01
3380,juicebottle,1,0.01
3381,officefiles,1,0.01
3382,filesystem,1,0.01
3383,shelvinghangers,1,0.01
3384,3holepunch,1,0.01
3385,postar,1,0.01
3386,xeroxmeshine,1,0.01
3387,sighn,1,0.01
3388,sing,1,0.01
3389,copa,1,0.01
3390,wardrow,1,0.01
3391,stule,1,0.01
3392,gift,1,0.01
3393,gamercontroller,1,0.01
3394,cuplid,1,0.01
3395,postalbox,1,0.01
3396,discdrive,1,0.01
3397,instument,1,0.01
3398,electronicinstument,1,0.01
3399,gamesystem,1,0.01
3400,cuppord,1,0.01
3401,movieplayer,1,0.01
3402,wallstorage,1,0.01
3403,gamecase,1,0.01
3404,calenter,1,0.01
3405,woodenstool,1,0.01
3406,toothpicbox,1,0.01
3407,lcdtv,1,0.01
3408,deckofcards,1,0.01
3409,sanitizingwipes,1,0.01
3410,shobha,1,0.01
3411,whitesheets,1,0.01
3412,souvenier,1,0.01
3413,dollobject,1,0.01
3414,dustjacket,1,0.01
3415,passport,1,0.01
3416,paperobject,1,0.01
3417,cartoondrawing,1,0.01
3418,skullposter,1,0.01
3419,orangebag,1,0.01
3420,photoclip,1,0.01
3421,mounts,1,0.01
3422,pileofclothing,1,0.01
3423,winebottles,1,0.01
3424,kitchenrack,1,0.01
3425,slowcooker,1,0.01
3426,shelfdoor,1,0.01
3427,glassshelfdoor,1,0.01
3428,cleaningspray,1,0.01
3429,ovenknob,1,0.01
3430,temeratureknob,1,0.01
3431,panskillet,1,0.01
3432,temperatureknob,1,0.01
3433,skilletlid,1,0.01
3434,ovencontrolpanel,1,0.01
3435,stoveeye,1,0.01
3436,pizzatray,1,0.01
3437,utilityhookup,1,0.01
3438,drippan,1,0.01
3439,seasoning,1,0.01
3440,polythincover,1,0.01
3441,fireextiguisher,1,0.01
3442,concreteground,1,0.01
3443,laptopchargingcord,1,0.01
3444,salt&peppershaker,1,0.01
3445,fooditem,1,0.01
3446,photoframe.,1,0.01
3447,rangearea,1,0.01
3448,stirstick,1,0.01
3449,emptyarea,1,0.01
3450,decorchamber,1,0.01
3451,booksandtoys,1,0.01
3452,decors,1,0.01
3453,cottonballcontainer,1,0.01
3454,roundbrush,1,0.01
3455,rubbermat,1,0.01
3456,stonefence,1,0.01
3457,housecoat,1,0.01
3458,caborddraw,1,0.01
3459,calculatoe,1,0.01
3460,supermarketplasticbag,1,0.01
3461,plasticgarbage,1,0.01
3462,redplasticbag,1,0.01
3463,dryingclothe,1,0.01
3464,carcase,1,0.01
3465,apples,1,0.01
3466,wooddecor,1,0.01
3467,plasticcan,1,0.01
3468,plasticdecor,1,0.01
3469,lightfocusedbrighterarea,1,0.01
3470,keychainstrip,1,0.01
3471,somewhiteshadow,1,0.01
3472,displayboardframe,1,0.01
3473,brightlightfocusedarea,1,0.01
3474,someitemimage,1,0.01
3475,petbed,1,0.01
3476,mirrior,1,0.01
3477,dogbone,1,0.01
3478,storagebin#,1,0.01
3479,vaccuum,1,0.01
3480,petblanket,1,0.01
3481,vaccuumreflection,1,0.01
3482,pumpbottle,1,0.01
3483,mouseslap,1,0.01
3484,cdspindle,1,0.01
3485,spongechair,1,0.01
3486,cd'sbox,1,0.01
3487,desktables,1,0.01
3488,droors,1,0.01
3489,computerbattery,1,0.01
3490,combutermionitor,1,0.01
3491,remotecontroler,1,0.01
3492,cdkit,1,0.01
3493,watterbootil,1,0.01
3494,ottomans,1,0.01
3495,laptops,1,0.01
3496,twoloosecds,1,0.01
3497,3dglasses,1,0.01
3498,moneypurse,1,0.01
3499,quarters,1,0.01
3500,cd/dvd,1,0.01
3501,electric,1,0.01
3502,tumpler,1,0.01
3503,weight,1,0.01
3504,sportsdrink,1,0.01
3505,thumbdrive,1,0.01
3506,flashdrive,1,0.01
3507,bigblackbox,1,0.01
3508,somewoodenobject,1,0.01
3509,faucetreflection,1,0.01
3510,gauzebox,1,0.01
3511,toothbrushes,1,0.01
3512,gauzecontainer,1,0.01
3513,babyoil,1,0.01
3514,kidsshampoo,1,0.01
3515,facemedication,1,0.01
3516,oils,1,0.01
3517,cabinetpull,1,0.01
3518,marblevanitytop,1,0.01
3519,lotionm,1,0.01
3520,hairlotion,1,0.01
3521,bodylotion,1,0.01
3522,granitetable,1,0.01
3523,talcumpowder,1,0.01
3524,prushbox,1,0.01
3525,tvouter,1,0.01
3526,electricboard,1,0.01
3527,timepees,1,0.01
3528,combuterdesk,1,0.01
3529,keybordtray,1,0.01
3530,ketchup,1,0.01
3531,undercountercabinet,1,0.01
3532,bedruffling,1,0.01
3533,wire/cable,1,0.01
3534,phenol,1,0.01
3535,sampoo,1,0.01
3536,washbeson,1,0.01
3537,watertaps,1,0.01
3538,products,1,0.01
3539,dehodorant,1,0.01
3540,wowen,1,0.01
3541,plasticblackbin,1,0.01
3542,bigbag,1,0.01
3543,bagopenlid,1,0.01
3544,plasticpaper,1,0.01
3545,plasticwhitebin,1,0.01
3546,pizzaoven,1,0.01
3547,towell,1,0.01
3548,plasticvessal,1,0.01
3549,kitchencupboard,1,0.01
3550,juser,1,0.01
3551,weekly,1,0.01
3552,calinder,1,0.01
3553,pushboard,1,0.01
3554,movies,1,0.01
3555,aircleaner,1,0.01
3556,staffler,1,0.01
3557,en,1,0.01
3558,pitcure,1,0.01
3559,colourlight,1,0.01
3560,platicitem,1,0.01
3561,remotes,1,0.01
3562,spikebuster,1,0.01
3563,wifimodem,1,0.01
3564,attachwire,1,0.01
3565,woofer,1,0.01
3566,fram,1,0.01
3567,seriallights,1,0.01
3568,boquet,1,0.01
3569,momentum,1,0.01
3570,woodenpieces,1,0.01
3571,stackofcd's,1,0.01
3572,dresserdrwaer,1,0.01
3573,bedroomdoor,1,0.01
3574,deskpad,1,0.01
3575,cdcollection,1,0.01
3576,woodmeterial,1,0.01
3577,clothbasckets,1,0.01
3578,penpot,1,0.01
3579,toolsbopx,1,0.01
3580,sliverbucket,1,0.01
3581,pen&brushstand,1,0.01
3582,boxfile,1,0.01
3583,bigwoodenrack,1,0.01
3584,colorfulobjects,1,0.01
3585,flesher,1,0.01
3586,soaps,1,0.01
3587,bodyscrubber,1,0.01
3588,bathtubwall,1,0.01
3589,bathtoy,1,0.01
3590,bathtoyholder,1,0.01
3591,washrag,1,0.01
3592,handwashlotion,1,0.01
3593,folower,1,0.01
3594,legcleaner,1,0.01
3595,toiletbasen,1,0.01
3596,cordvair,1,0.01
3597,receipts,1,0.01
3598,tourchlight,1,0.01
3599,spacewall,1,0.01
3600,def,1,0.01
3601,coloredcubeobject,1,0.01
3602,penpencilstand,1,0.01
3603,cellphonecaharging,1,0.01
3604,smallphotoframe,1,0.01
3605,somewhiteobject,1,0.01
3606,crumpledpaper,1,0.01
3607,coveredpatiofurniture,1,0.01
3608,deckrailing,1,0.01
3609,tablecircle,1,0.01
3610,boosterseat,1,0.01
3611,traintrackset,1,0.01
3612,illow,1,0.01
3613,floormkate,1,0.01
3614,groundfloor,1,0.01
3615,pencilstand,1,0.01
3616,cushin,1,0.01
3617,decarationtable,1,0.01
3618,dool,1,0.01
3619,personhand,1,0.01
3620,wiicontrol,1,0.01
3621,recordalbum,1,0.01
3622,cdplayerstand,1,0.01
3623,wiicontroler,1,0.01
3624,sterowire,1,0.01
3625,spekar,1,0.01
3626,audioequipment,1,0.01
3627,materialbag,1,0.01
3628,keychain,1,0.01
3629,godhrage,1,0.01
3630,soundbox,1,0.01
3631,combe,1,0.01
3632,glossofwater,1,0.01
3633,flannelfabric,1,0.01
3634,lampplugandcord,1,0.01
3635,cableandplug,1,0.01
3636,plugandcord,1,0.01
3637,plasticplate,1,0.01
3638,thermagol,1,0.01
3639,powder,1,0.01
3640,artframe,1,0.01
3641,exerciseaccessory,1,0.01
3642,vaccuumcleanerattachment,1,0.01
3643,kitchentop,1,0.01
3644,piedish,1,0.01
3645,stovedials,1,0.01
3646,wallhooks,1,0.01
3647,dryervent,1,0.01
3648,loovereddoor,1,0.01
3649,clothrag,1,0.01
3650,washbasine,1,0.01
3651,cableline,1,0.01
3652,pretzels,1,0.01
3653,marblesheet,1,0.01
3654,shetmarble,1,0.01
3655,flastickit,1,0.01
3656,cabordtable,1,0.01
3657,dishholder,1,0.01
3658,groceries,1,0.01
3659,couter,1,0.01
3660,ukulele,1,0.01
3661,frisbee,1,0.01
3662,other,1,0.01
3663,sandel,1,0.01
3664,carealbox,1,0.01
3665,caninet,1,0.01
3666,bedpillo,1,0.01
3667,sleepingbag,1,0.01
3668,bottele,1,0.01
3669,plaidshirt,1,0.01
3670,bedrailing,1,0.01
3671,pencel,1,0.01
3672,gougles,1,0.01
3673,tablefan.,1,0.01
3674,filesandbooks,1,0.01
3675,vegetablecutplate,1,0.01
3676,plasticroll,1,0.01
3677,strick,1,0.01
3678,selfdoors,1,0.01
3679,stovefan,1,0.01
3680,servingspoons,1,0.01
3681,plastictup,1,0.01
3682,cimny,1,0.01
3683,ovenstove,1,0.01
3684,milkpot,1,0.01
3685,receptacle,1,0.01
3686,chocolatechips,1,0.01
3687,foodpackaging,1,0.01
3688,potatochips,1,0.01
3689,mark,1,0.01
3690,paperkit,1,0.01
3691,corks,1,0.01
3692,honeycombsbox,1,0.01
3693,chapel,1,0.01
3694,lampy,1,0.01
3695,moviecase,1,0.01
3696,dvdbox,1,0.01
3697,tevelision,1,0.01
3698,drincks,1,0.01
3699,idcardwithtag,1,0.01
3700,currencynote,1,0.01
3701,blackbottle,1,0.01
3702,syrubbottle,1,0.01
3703,visitingcards,1,0.01
3704,adaptor,1,0.01
3705,waterbtte,1,0.01
3706,hairproducts,1,0.01
3707,epsomsalts,1,0.01
3708,hairbrushes,1,0.01
3709,playmate,1,0.01
3710,booksracks,1,0.01
3711,booksbox,1,0.01
3712,handwashoil,1,0.01
3713,washbasion,1,0.01
3714,washingoil,1,0.01
3715,prush,1,0.01
3716,washfashion,1,0.01
3717,taps,1,0.01
3718,drainer,1,0.01
3719,games,1,0.01
3720,homethings,1,0.01
3721,blenderpitcher,1,0.01
3722,backsplash/wall,1,0.01
3723,britafilter,1,0.01
3724,softsoap,1,0.01
3725,cerealboxes,1,0.01
3726,magnent,1,0.01
3727,glassbottel,1,0.01
3728,lowercupboard,1,0.01
3729,ovengloves,1,0.01
3730,blankcover,1,0.01
3731,garbagecanlid,1,0.01
3732,ovenmit,1,0.01
3733,stovecontrols,1,0.01
3734,hairstraightener,1,0.01
3735,showerframe,1,0.01
3736,showerwindow,1,0.01
3737,compartment,1,0.01
3738,filecase,1,0.01
3739,boxincabinet,1,0.01
3740,washingsoapoil,1,0.01
3741,ovenswitch,1,0.01
3742,washingsink,1,0.01
3743,kitchenitem,1,0.01
3744,bottle.,1,0.01
3745,laundrydetergentbottle,1,0.01
3746,foamneckbrace,1,0.01
3747,splashboard,1,0.01
3748,coughdrops,1,0.01
3749,medicineinabottle,1,0.01
3750,bowlchair,1,0.01
3751,blacksharpie,1,0.01
3752,cigaretts,1,0.01
3753,fillow,1,0.01
3754,telivishion,1,0.01
3755,plasticbottel,1,0.01
3756,ccpboard,1,0.01
3757,wessale,1,0.01
3758,flack,1,0.01
3759,chimili,1,0.01
3760,lysol,1,0.01
3761,uppershelve,1,0.01
3762,vodka,1,0.01
3763,glasspart,1,0.01
3764,airdrain,1,0.01
3765,suitgase,1,0.01
3766,walllamb,1,0.01
3767,woodcupboard,1,0.01
3768,bopttle,1,0.01
3769,bocket,1,0.01
3770,drungbox,1,0.01
3771,cableoutlet,1,0.01
3772,watermeater,1,0.01
3773,"shampoo,cream",1,0.01
3774,bresh,1,0.01
3775,muthwash,1,0.01
3776,toohbrush,1,0.01
3777,flatiron,1,0.01
3778,windowmat,1,0.01
3779,nutribullet,1,0.01
3780,appliancebox,1,0.01
3781,fivebeercans,1,0.01
3782,electriccanopener,1,0.01
3783,blueglassvase,1,0.01
3784,electricmixer,1,0.01
3785,styrofoamobject,1,0.01
3786,cablemodem,1,0.01
3787,hanginghooks,1,0.01
3788,watercarboy,1,0.01
3789,cablerack,1,0.01
3790,showercap,1,0.01
3791,earplugs,1,0.01
3792,contactlenssolutionbottle,1,0.01
3793,toybottle,1,0.01
3794,vasoline,1,0.01
3795,giftwrappingroll,1,0.01
3796,vuvuzela,1,0.01
3797,hockeyglove,1,0.01
3798,flashcard,1,0.01
3799,stapleremover,1,0.01
3800,glassrack,1,0.01
3801,shoppingbaskets,1,0.01
3802,coffeepacket,1,0.01
3803,spicestand,1,0.01
3804,kitchenitems,1,0.01
3805,tinfoil,1,0.01
3806,kitchenutensil,1,0.01
3807,canoffood,1,0.01
3808,woodenkitchenutensils,1,0.01
3809,cake,1,0.01
3810,wallstand,1,0.01
3811,shirtsinhanger,1,0.01
3812,handsculpture,1,0.01
3813,coin,1,0.01
3814,menstie,1,0.01
3815,woodencontainer,1,0.01
3816,woodenutensils,1,0.01
3817,napkin_ring,1,0.01
3818,spotlight,1,0.01
3819,mortarandpestle,1,0.01
3820,stackofplates,1,0.01
3821,saltcontainer,1,0.01
3822,utensilcontainer,1,0.01
3823,ovenhandle,1,0.01
3824,casseroledish,1,0.01
3825,dishcover,1,0.01
3826,toysbasket,1,0.01
3827,chartstand,1,0.01
3828,filingshelves,1,0.01
3829,legofagirl,1,0.01
3830,bassinet,1,0.01
3831,toybin,1,0.01
3832,softtoygroup,1,0.01
3833,educationaldisplay,1,0.01
3834,toycube,1,0.01
3835,toycuboid,1,0.01
3836,toytrucks,1,0.01
3837,wallhandsanitizerdispenser,1,0.01
3838,capstand,1,0.01
3839,lidofjar,1,0.01
3840,stackedplasticracks,1,0.01
3841,ornamentalplant,1,0.01
3842,grandfatherclock,1,0.01
3843,toydoll,1,0.01
3844,globestand,1,0.01
3845,filecontainer,1,0.01
3846,pyramid,1,0.01
3847,cordlessphone,1,0.01
3848,filestand,1,0.01
3849,toyplane,1,0.01
3850,toysofa,1,0.01
3851,childcarrier,1,0.01
3852,clothingwasher,1,0.01
3853,laundrydetergentjug,1,0.01
3854,bottleofsoap,1,0.01
3855,crayon,1,0.01
3856,horsetoy,1,0.01
3857,plastictoycontainer,1,0.01
3858,hoolahoop,1,0.01
3859,poolsticks,1,0.01
3860,videogame,1,0.01
3861,consolesystem,1,0.01
3862,poolball,1,0.01
3863,coppervessel,1,0.01
3864,toycashregister,1,0.01
