stage,scene_type,scene,classes_present,split
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002641_2014-06-24_14-52-01_094959634447_rgbf000061-resize,chair|table|window|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002642_2014-06-24_14-52-16_094959634447_rgbf000065-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002643_2014-06-24_14-52-59_094959634447_rgbf000063-resize,chair|table,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002644_2014-06-24_14-53-11_094959634447_rgbf000199-resize,chair|table|light,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002645_2014-06-24_14-53-56_094959634447_rgbf000064-resize,chair|table|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002646_2014-06-24_14-54-07_094959634447_rgbf000056-resize,chair|table,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002647_2014-06-24_14-54-29_094959634447_rgbf000067-resize,chair|table|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002648_2014-06-24_14-54-39_094959634447_rgbf000069-resize,chair|table|window|monitor|bag|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002649_2014-06-24_14-54-50_094959634447_rgbf000066-resize,chair|table,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002650_2014-06-24_14-55-23_094959634447_rgbf000057-resize,chair|table|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002727_2014-06-22_11-49-24_094959634447_rgbf000025-resize,chair,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\002728_2014-06-22_11-49-41_094959634447_rgbf000030-resize,chair|cabinet|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003119_2014-05-12_10-27-16_094959634447_rgbf000100-resize,chair|cabinet,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003120_2014-05-12_10-27-48_094959634447_rgbf000100-resize,chair|table|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003121_2014-05-12_10-28-58_094959634447_rgbf000100-resize,chair|door|cabinet|desk|paper,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003122_2014-05-12_10-29-39_094959634447_rgbf002909-resize,chair|door|cabinet|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003123_2014-05-12_10-37-47_094959634447_rgbf000100-resize,cabinet,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003124_2014-05-12_10-38-57_094959634447_rgbf000100-resize,chair|cabinet,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003125_2014-05-12_10-39-22_094959634447_rgbf000100-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003126_2014-05-12_10-39-49_094959634447_rgbf000100-resize,chair|door|cabinet|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003127_2014-05-12_10-40-11_094959634447_rgbf000100-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003128_2014-05-12_10-41-05_094959634447_rgbf002598-resize,chair|cabinet,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003129_2014-05-12_10-48-10_094959634447_rgbf000100-resize,chair|table|door|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003130_2014-05-12_10-48-53_094959634447_rgbf000101-resize,chair|table|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003131_2014-05-12_10-49-17_094959634447_rgbf000101-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003132_2014-05-12_10-49-43_094959634447_rgbf002599-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003133_2014-05-12_10-56-45_094959634447_rgbf000100-resize,chair|table|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003134_2014-05-12_10-57-10_094959634447_rgbf000100-resize,door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003135_2014-05-12_10-57-34_094959634447_rgbf000100-resize,chair|table|door,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003136_2014-05-12_10-58-05_094959634447_rgbf000100-resize,chair|table|door|cabinet|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003137_2014-05-12_10-58-30_094959634447_rgbf000100-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003139_2014-05-12_10-59-31_094959634447_rgbf002151-resize,chair|table,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003140_2014-05-12_11-05-49_094959634447_rgbf000101-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003141_2014-05-12_11-06-12_094959634447_rgbf000100-resize,chair|window|door|desk|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003142_2014-05-12_11-06-33_094959634447_rgbf000100-resize,chair|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003143_2014-05-12_11-07-00_094959634447_rgbf000100-resize,chair|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003144_2014-05-12_11-07-53_094959634447_rgbf002910-resize,chair|door|cabinet,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003145_2014-05-12_11-15-35_094959634447_rgbf000101-resize,chair|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003146_2014-05-12_11-16-12_094959634447_rgbf000100-resize,chair|door|cabinet|desk|paper|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003147_2014-05-12_11-16-44_094959634447_rgbf000101-resize,chair|door|desk|monitor,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003148_2014-05-12_11-17-18_094959634447_rgbf000100-resize,chair|table,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003149_2014-05-12_11-17-52_094959634447_rgbf003779-resize,window|door|cabinet|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003150_2014-05-12_11-26-59_094959634447_rgbf000101-resize,chair|cabinet|desk|paper|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003151_2014-05-12_11-27-24_094959634447_rgbf000100-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003152_2014-05-12_11-27-50_094959634447_rgbf000101-resize,chair,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003153_2014-05-12_11-28-21_094959634447_rgbf000101-resize,chair|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003154_2014-05-12_11-28-46_094959634447_rgbf000101-resize,chair|window|box|paper,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003155_2014-05-12_11-29-19_094959634447_rgbf000101-resize,chair|table|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003156_2014-05-12_11-29-42_094959634447_rgbf000101-resize,chair|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003157_2014-05-12_11-30-24_094959634447_rgbf000542-resize,chair|curtain,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003173_2014-05-12_21-50-13_094959634447_rgbf000100-resize,chair|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003174_2014-05-12_21-50-47_094959634447_rgbf000100-resize,desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003176_2014-05-12_21-52-31_094959634447_rgbf000101-resize,chair|table|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003177_2014-05-12_21-53-03_094959634447_rgbf000056-resize,chair|table|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003178_2014-05-12_21-53-27_094959634447_rgbf000101-resize,chair|door|desk|paper|bag|light,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003179_2014-05-12_21-53-59_094959634447_rgbf000100-resize,chair|table|door|shelf,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003180_2014-05-12_21-54-37_094959634447_rgbf000100-resize,chair|table|lamp,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003181_2014-05-12_21-55-03_094959634447_rgbf000852-resize,chair|table|door,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003182_2014-05-12_21-58-54_094959634447_rgbf003572-resize,chair|door,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003183_2014-05-12_22-05-39_094959634447_rgbf000025-resize,window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003184_2014-05-12_22-06-10_094959634447_rgbf000050-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003185_2014-05-12_22-07-17_094959634447_rgbf000025-resize,chair|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003186_2014-05-12_22-07-43_094959634447_rgbf000051-resize,chair|window|cabinet|desk|light,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003187_2014-05-12_22-08-19_094959634447_rgbf000051-resize,chair|door|light,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003188_2014-05-12_22-08-43_094959634447_rgbf000050-resize,chair|table|door,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003189_2014-05-12_22-11-34_094959634447_rgbf000101-resize,chair|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003190_2014-05-12_22-12-20_094959634447_rgbf000101-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003191_2014-05-12_22-12-45_094959634447_rgbf000101-resize,chair|desk|paper|monitor,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003193_2014-05-12_22-15-42_094959634447_rgbf000100-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003194_2014-05-12_22-16-14_094959634447_rgbf000100-resize,chair|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003195_2014-05-12_22-17-02_094959634447_rgbf000100-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003198_2014-05-12_22-19-06_094959634447_rgbf000045-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003199_2014-05-12_22-20-08_094959634447_rgbf000102-resize,chair|window|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003200_2014-05-12_22-20-58_094959634447_rgbf000021-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003201_2014-05-12_22-22-02_094959634447_rgbf002264-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003202_2014-05-12_22-26-12_094959634447_rgbf000100-resize,chair|table|paper|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003203_2014-05-12_22-26-50_094959634447_rgbf000050-resize,chair|window|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003204_2014-05-12_22-27-19_094959634447_rgbf000050-resize,chair,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003205_2014-05-12_22-27-44_094959634447_rgbf000050-resize,chair|desk|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003206_2014-05-12_22-28-18_094959634447_rgbf000402-resize,chair,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003207_2014-05-13_11-25-48_094959634447_rgbf000100-resize,chair|desk|paper,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003208_2014-05-13_11-26-19_094959634447_rgbf000101-resize,chair|table|window|paper|light,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003209_2014-05-13_11-26-49_094959634447_rgbf000100-resize,chair|door,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003210_2014-05-13_11-27-13_094959634447_rgbf000101-resize,chair|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003211_2014-05-13_11-29-43_094959634447_rgbf003701-resize,chair|door|paper,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003212_2014-05-13_11-36-45_094959634447_rgbf000268-resize,chair|window,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003213_2014-05-13_11-45-56_094959634447_rgbf000102-resize,door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003214_2014-05-13_11-46-19_094959634447_rgbf000100-resize,chair|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003215_2014-05-13_11-46-49_094959634447_rgbf000100-resize,chair|table|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003216_2014-05-13_11-47-24_094959634447_rgbf000100-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003217_2014-05-13_11-48-00_094959634447_rgbf000100-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003218_2014-05-13_11-51-46_094959634447_rgbf003313-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003219_2014-05-14_13-25-04_094959634447_rgbf000101-resize,chair|desk|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003220_2014-05-14_13-25-24_094959634447_rgbf000100-resize,chair|table|desk|paper|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003221_2014-05-14_13-25-50_094959634447_rgbf000101-resize,chair|table|door,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003222_2014-05-14_13-26-24_094959634447_rgbf000100-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003223_2014-05-14_13-26-55_094959634447_rgbf000100-resize,chair|table,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003224_2014-05-14_13-27-48_094959634447_rgbf003166-resize,,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003225_2014-05-14_13-41-16_094959634447_rgbf000101-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003226_2014-05-14_13-41-43_094959634447_rgbf000100-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003227_2014-05-14_13-42-10_094959634447_rgbf000100-resize,chair|table,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003228_2014-05-14_13-42-35_094959634447_rgbf000101-resize,chair|table|desk|bottle,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003229_2014-05-14_13-43-11_094959634447_rgbf000100-resize,chair|table|cabinet|curtain,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003230_2014-05-14_13-43-32_094959634447_rgbf000100-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003232_2014-05-14_13-44-11_094959634447_rgbf000101-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003233_2014-05-14_13-45-26_094959634447_rgbf000035-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003234_2014-05-14_13-45-46_094959634447_rgbf003506-resize,chair|table|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003235_2014-05-14_13-55-10_094959634447_rgbf000101-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003236_2014-05-14_13-55-31_094959634447_rgbf000100-resize,chair|table|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003237_2014-05-14_13-56-09_094959634447_rgbf000100-resize,chair|table|desk|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003238_2014-05-14_13-56-36_094959634447_rgbf000100-resize,chair|table|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003239_2014-05-14_13-57-08_094959634447_rgbf000100-resize,chair|table|door,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003240_2014-05-14_13-57-38_094959634447_rgbf000100-resize,chair|door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003241_2014-05-14_13-58-02_094959634447_rgbf000100-resize,door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003242_2014-05-14_13-58-27_094959634447_rgbf000101-resize,chair|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003243_2014-05-14_13-59-46_094959634447_rgbf000914-resize,chair|table|door|desk|lamp,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003244_2014-05-14_14-02-28_094959634447_rgbf000169-resize,chair|desk|monitor|curtain,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003245_2014-05-14_14-04-08_094959634447_rgbf004589-resize,chair|table|window|cabinet|desk|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003246_2014-05-14_14-14-07_094959634447_rgbf000100-resize,chair|table|door|cabinet|monitor|counter|keyboard|light,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003247_2014-05-14_14-14-31_094959634447_rgbf000100-resize,door|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003248_2014-05-14_14-15-01_094959634447_rgbf000100-resize,chair|door|desk|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003249_2014-05-14_14-15-42_094959634447_rgbf000100-resize,table|curtain,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003250_2014-05-14_14-16-13_094959634447_rgbf000106-resize,chair|window|door|desk|monitor|keyboard|light,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003251_2014-05-14_14-16-47_094959634447_rgbf000100-resize,chair|table|window|desk,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003252_2014-05-14_14-17-26_094959634447_rgbf004170-resize,box,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003253_2014-05-14_14-26-17_094959634447_rgbf002903-resize,door|paper,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003254_2014-05-14_15-38-36_094959634447_rgbf000100-resize,chair|table|desk|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003255_2014-05-14_15-39-09_094959634447_rgbf000100-resize,chair|table|desk|paper|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003256_2014-05-14_15-39-30_094959634447_rgbf000100-resize,chair|desk|box|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003257_2014-05-14_15-39-51_094959634447_rgbf000100-resize,chair|table|desk|monitor|keyboard,SceneType-3stage
Stage 3 – Classroom,classroom,C:\Users\ryana\Downloads\SUNRGBD\SUNRGBD\kv2\kinect2data\003258_2014-05-14_15-40-22_094959634447_rgbf000100-resize,chair|door,SceneType-3stage
